,location,recording_date_time,TEWA,RCKI,WTSP,YRWA,REVI,OSFL
0,AM-429-NW,2014-05-15 07:00:00,0,0,2,0,0,0
1,AM-429-NW,2014-05-15 08:00:00,0,0,2,0,0,0
2,AM-429-NW,2014-05-16 06:00:00,0,0,6,0,0,0
3,AM-429-NW,2014-05-17 06:00:00,0,0,3,0,0,0
4,AM-429-NW,2014-05-17 09:00:00,0,0,4,0,0,0
5,AM-429-NW,2014-05-18 09:00:00,0,0,4,0,0,0
6,AM-429-NW,2014-05-19 07:00:00,0,0,3,0,0,0
7,BG-6-94,2016-05-12 05:46:00,0,0,1,0,0,0
8,BG-6-94,2016-05-15 06:40:00,0,0,3,0,0,0
9,BG-6-94,2016-05-27 05:21:00,0,0,1,0,0,1
10,BG-6-94,2016-06-02 06:14:00,1,0,4,0,0,0
11,BG-6-94,2016-06-03 06:13:00,0,0,2,0,0,0
12,BG-6-94,2016-06-09 04:39:00,1,0,2,0,0,0
13,BG-6-94,2016-06-09 06:09:00,1,0,2,0,1,0
14,BG-6-94,2016-06-10 05:09:00,0,0,2,0,0,0
15,BG-6-94,2016-06-10 07:02:00,0,0,3,0,1,0
16,BG-6-94,2016-06-11 06:08:00,1,0,1,0,1,0
17,BG-6-94,2016-06-11 07:01:00,0,0,2,0,1,0
18,BG-6-94,2016-06-12 05:08:00,0,0,3,0,1,0
19,BG-6-94,2016-06-12 07:01:00,0,0,2,0,0,0
20,BG-6-94,2016-06-14 05:07:00,0,0,4,0,1,0
21,FMX-2-18-2,2020-06-17 05:20:00,3,0,3,0,2,0
22,FMX-2-18-2,2020-06-17 06:20:00,3,0,2,0,1,0
23,FMX-2-18-2,2020-06-17 07:20:00,1,0,3,0,1,0
24,FMX-2-18-2,2020-06-18 05:20:00,1,0,2,0,1,1
25,FMX-2-18-2,2020-06-18 06:20:00,3,0,3,0,1,0
26,FMX-2-18-2,2020-06-18 07:20:00,3,0,4,0,1,0
27,FMX-2-18-2,2020-06-19 05:20:00,0,0,2,0,1,0
28,FMX-2-18-2,2020-06-19 06:20:00,1,0,3,0,0,0
29,FMX-2-18-2,2020-06-19 07:20:00,3,0,4,0,1,0
30,FMX-2-18-2,2020-06-20 05:21:00,2,0,3,0,0,0
31,FMX-2-18-2,2020-06-20 06:21:00,0,0,5,0,1,0
32,FMX-2-18-2,2020-06-20 07:21:00,0,0,4,0,1,0
33,FMX-2-18-2,2020-06-21 05:21:00,0,0,5,0,2,0
34,FMX-2-18-2,2020-06-21 06:21:00,1,0,5,0,2,0
35,FMX-2-18-2,2020-06-21 07:21:00,1,0,2,0,1,0
36,H-CC-1-101,2022-06-03 05:23:00,0,0,1,0,0,0
37,H-CC-1-101,2022-06-03 07:53:00,1,0,0,0,0,0
38,H-CC-1-101,2022-06-04 05:52:00,1,0,2,0,0,0
39,H-CC-1-101,2022-06-04 07:52:00,1,0,1,0,0,0
40,H-CC-1-101,2022-06-05 05:21:00,1,0,4,0,0,0
41,H-CC-1-101,2022-06-05 05:51:00,0,0,3,0,0,0
42,H-CC-1-101,2022-06-05 06:51:00,0,0,3,0,1,0
43,H-CC-1-101,2022-06-05 07:51:00,0,0,3,0,0,0
44,H-CC-1-101,2022-06-06 05:21:00,0,0,2,0,0,0
45,H-CC-1-101,2022-06-06 05:51:00,0,0,2,0,0,0
46,H-CC-1-101,2022-06-06 06:51:00,0,0,2,0,1,0
47,H-CC-1-101,2022-06-07 05:20:00,0,0,3,0,0,0
48,H-CC-1-101,2022-06-07 05:50:00,0,0,2,0,0,0
49,H-CC-1-104,2022-06-03 05:23:00,0,0,1,0,0,0
50,H-CC-1-104,2022-06-04 05:22:00,0,0,0,0,1,0
51,H-CC-1-104,2022-06-05 05:21:00,0,0,4,0,0,0
52,H-CC-1-104,2022-06-05 05:51:00,0,0,2,0,0,0
53,H-CC-1-104,2022-06-05 06:51:00,0,0,1,0,0,0
54,H-CC-1-104,2022-06-06 05:21:00,0,0,1,0,0,0
55,H-CC-1-104,2022-06-06 05:51:00,0,0,2,0,0,0
56,H-CC-1-104,2022-06-06 06:51:00,0,0,1,0,0,0
57,H-CC-1-104,2022-06-07 05:20:00,0,0,1,0,0,0
58,H-CC-1-108N,2022-06-22 05:40:00,2,0,2,0,0,0
59,H-CC-1-108N,2022-06-22 06:25:00,1,0,0,1,0,0
60,H-CC-1-108N,2022-06-22 06:40:00,1,0,3,0,0,0
61,H-CC-1-108N,2022-06-22 06:55:00,1,0,3,1,0,0
